name	***	mention	text	class
THE REIGN OF ANDREW JACKSON***	Democracy in America	Political conditions in the country are described in Alexis de Tocqueville, Democracy in America (Eng. trans. by Reeve in 2 vols., 1862), and the economic situation is set forth in detail in James S. Buckingham, America, Historical, Statistical and Descriptive, 2 vols.	True
A TREATISE ON PARENTS AND CHILDREN ***	Democracy in America	Democracy in America has led to the withdrawal of ordinary refined persons from politics; and the same result is coming in England as fast as we make Democracy as democratic as it is in America.	False
TED STRONG IN MONTANA***	White Fang	For years White Fang had preyed upon the ranchmen, exacting a heavy toll in cattle and sheep.	False
MUSHROOMS ON THE MOOR***	White Fang	 And Jack London, who seems to have got into the very soul of a wolf, shows us how the wonderful character of White Fang was moulded and fashioned by fear.	False
CHILDREN OF THE FROST***	White Fang	The short day had been waning fast, and darkness was wrapping round the camp when White Fang trotted up toward the fire.	False
UNICORNS ***	Dubliners	But James Joyce, potentially a poet, and a realist of the De Maupassant breed, envisages Dublin and the Dubliners with a cruel scrutinising gaze.	False
ROLAND CASHEL ***	Dubliners	"Does this convey any idea of a prairie, Mr. Cashel?" said Miss Kennyfeck, as they emerged from a grove of beech-trees, and came upon the wide and stretching plain, so well known to Dubliners as the Fifteen Acres, but which is, in reality, much greater in extent.	False
IRELAND AS IT IS ***	Dubliners	The Dubliners must have their fun, and, like the Parisians, will sport with matters of heaviest import.	False
JUST IRISH ***	Dubliners	An American crowd would have made for the main exhibition building, but I doubt if the Dubliners noticed that it was raining.	False
THOMAS DAVIS, SELECTIONS ***	Dubliners	As to Glendalough, it is so much a holiday place for the Dubliners that it is no wonder everything portable has disappeared.	False
WOMAN'S CLUB WORK AND PROGRAMS ***	Jude the Obscure	The Return of the Native is perhaps his most characteristic book, although in Jude the Obscure he shows a merciless character analysis.	True
VISIONS AND REVISIONS ***	Jude the Obscure	It is absurd to turn away from these books, books like Jude the Obscure and the Well-Beloved.	True
MEDIEVAL ENGLISH NUNNERIES ***	Jude the Obscure	Another matron was so much annoyed at drawing St Jude the Obscure instead of a more famous Apostle that she threw him behind the altar chest; whereupon the outraged Apostle visited her in a dream and not only rated her soundly but afflicted her with a palsy.	False
THE BIBLIOGRAPHY OF WALT WHITMAN ***	Leaves of Grass	It gives no intimation of the great nature that later produced Leaves of Grass and Democratic Vistas.	True
THE PG ENCYCLOPEDIA, VOL 1 ***	Leaves of Grass	Apart from all these, whether minor or major poets, stands Walt Whitman (1819-1892), whose Leaves of Grass (1855) first appeared before the war, but whose fame is associated rather with its successive editions and its companion volumes, and definitely dated, perhaps, from 1867.	True
IVORY APES AND PEACOCKS ***	Leaves of Grass	My edition of Walt Whitman's Leaves of Grass is dated 1867, the third, if I am not mistaken, the first appearing in 1855.	True
WALT WHITMAN YESTERDAY AND TODAY ***	Leaves of Grass	From Studies among the Leaves, printed in the Crayon (New York, 1856), this extract may be taken: "With a wonderful vigor of thought and intensity of perception, a power, indeed, not often found, Leaves of Grass has no identity, no concentration, no purpose--it is barbarous, undisciplined, like the poetry of a half-civilized people, and as a whole useless, save to those miners of thought who prefer the metal in its unworked state."	True
INSULA SANCTORUM ET DOCTORUM ***	The Lives of the Saints	The Lives of the Saints were read for the community and conferences--collationes--like those of Cassian on spiritual and theological questions were frequently held under the presidency of the abbot or prior.	True
WORLD'S BEST LITERATURE, VOL VIII ***	The Lives of the Saints	The Lives of the Saints form altogether a most important and characteristic section of Irish literature.	True
THE ART OF NEEDLE-WORK ***	The Lives of the Saints	The Lives of the Saints were frequently pourtrayed with all the legendary accompaniments which credulity and blind faith could invest them with.	False
THE LAY OF HAVELOK THE DANE ***	The Lives of the Saints	The Lives of the Saints occupy a large portion of the volume, and are probably to be ascribed to the authorship of Robert of Gloucester.	True
HISTORY OF EUROPEAN MORALS FROM AUGUSTUS TO CHARLEMAGNE (VOL. 2 OF 2)***	The Lives of the Saints	The Lives of the Saints paint with an appalling vividness the agonies of their struggle.	True
THE VALLEY OF DECISION ***	The Lives of the Saints	The Lives of the Saints fed at once his imagination and his heart, and over the story of Saint Francis, now first made known to him, he trembled with delicious sympathy.	True
WARFARE OF SCIENCE WITH THEOLOGY ***	The Lives of the Saints	The Lives of the Saints dwell with complacency on the statement that, when sundry Eastern monks showed a disposition to wash themselves, the Almighty manifested his displeasure by drying up a neighbouring stream until the bath which it had supplied was destroyed.	True
DEMONOLOGY AND DEVIL-LORE ***	The Lives of the Saints	The Lives of the Saints abound with legends of pious bears, such as that commemorated along with St. Sergius in Troitska Lavra, near Moscow; and that which St. Gallus was ungracious enough to banish from Switzerland after it had brought him firewood in proof of its conversion.	True
IRISH PLAYS AND PLAYWRIGHTS ***	Hedda Gabler	Lady Ann Travers is only a more fortunate Hedda Gabler who in the end accepts the protection of her Chancellor Brack, the capitalist Baron Steinbach, after her Lövberg turned labor agitator, John Reid has, like his prototype, made a wreck of his life.	True
IVORY APES AND PEACOCKS ***	Hedda Gabler	Not as admirable as either Emma Bovary or Anna Karenina, Hedda Gabler married George Tesman for speculation.	True
OUR STAGE AND ITS CRITICS ***	Hedda Gabler	On what may be called neutral ground, such as Ibsen plays, we have held our own very well against any performances in London by Continental players; Miss Janet Achurch was a more characteristic Nora than Duse or Réjane; nor have we seen a Mrs Linden, Hedda Gabler or Hilda Wangle comparable with that of Miss Elizabeth Robins.	True
REVOLUTIONIST'S HANDBOOK ***	Hedda Gabler	 Now if this assumption were really founded on public opinion, it would indicate an attitude of disgust and resentment towards the Life Force that could only arise in a diseased and moribund community in which Ibsen's Hedda Gabler would be the typical woman.	True
HENRIK IBSEN ***	Hedda Gabler	but closer examination showed that Hedda Gabler had no sort of relation with the pamphlets of the master of Parisian problem-tragedy.	True
PLAY-MAKING ***	Hedda Gabler	Hedda Gabler was constitutionally fated to suicide: a woman of low vitality, overmastering egoism, and acute supersensitiveness, placed in a predicament which left her nothing to expect from life but tedium and humiliation.	True
THE TROLL GARDEN ***	Hedda Gabler	One evening I heard her giving Frau Lichtenfeld some random impressions about Hedda Gabler which she extracted from me five years ago; giving them with an impassioned conviction of which I was never guilty.	True
SIR GEORGE TRESSADY, VOL. II ***	Hedda Gabler	in the language of Hedda Gabler "people don't do these things,"--not people with any sense of the humorous or the seemly.	True
THE YELLOW BOOK ***	Hedda Gabler	The one extremity, it seems to me, offends against the standard of contemporary taste; ("people," as Hedda Gabler said, "do not say such things now"); the other extremity rebels against that universal standard of good taste that has from the days of Milo distinguished between the naked and the nude.	True
THE SON OF TARZAN ***	Tarzan of the Apes	 Had I been able to tell him of the experiences of Tarzan of the Apes I could doubtless have taken much of the glamour and romance from jungle life that naturally surrounds it in the minds of those who have had no experience of it.	True
TARZAN AND THE JEWELS OF OPAR ***	Tarzan of the Apes	To Tarzan of the Apes the expedition was in the nature of a holiday outing.	False
THE BEASTS OF TARZAN ***	Tarzan of the Apes	 But Tarzan of the Apes would not be king of the tribe of Akut.	False
TARZAN THE TERRIBLE ***	Tarzan of the Apes	Two months--two long, weary months filled with hunger, with thirst, with hardships, with disappointment, and, greater than all, with gnawing pain--had passed since Tarzan of the Apes learned from the diary of the dead German captain that his wife still lived.	False
TARZAN THE UNTAMED ***	Tarzan of the Apes	It will go well indeed with Herr Hauptmann Fritz Schneider if he brings in the famous Tarzan of the Apes as a prisoner of war."	False
JUNGLE TALES OF TARZAN ***	Tarzan of the Apes	Lost to Tarzan of the Apes was the truth of his origin.	False
THE HAUNTED BOOKSHOP ***	Tarzan of the Apes	"I see Tarzan of the Apes is running at the Gissing Street movie palace," said Gladfist.	True
ENGLISH LITERATURE, ***	The Canterbury Tales	The Canterbury Tales were begun in 1386, when Chaucer was fifty-eight years old, and in a period of comparative quiet, after the minority of Richard II. was over, and before his troubles had begun.	True
BRIEF HANDBOOK OF ENGLISH AUTHORS ***	The Canterbury Tales	Author of numerous lesser poems, but The Canterbury Tales is his greatest work.	True
ENGLISH LANGUAGE AND LITERATURE ***	The Canterbury Tales	The Canterbury Tales are a series of stories supposed to be told by a number of pilgrims who are on their way to the shrine of St Thomas (Becket) at Canterbury.	True
LIVES OF POETS, V1 ***	The Canterbury Tales	The Canterbury Tales were written about the year 1383.	True
BEACON LIGHTS OF HISTORY, VOLUME VI***	The Canterbury Tales	The characteristics of the fourteenth century Its great events and characters State of society in England when Chaucer arose His early life His intimacy with John of Gaunt, the great Duke of Lancaster His prosperity His poetry The Canterbury Tales Their fidelity to Nature and to English life Connection of his poetry with the formation of the English Language The Pilgrims of the Canterbury Tales Chaucer's views of women and of love His description of popular sports and amusements The preponderance of country life in the fourteenth century Chaucer's description of popular superstitions Of ecclesiastical abuses His emancipation from the ideas of the Middle Ages Peculiarities of his poetry Chaucer's private life	True
THE VICOMTE DE BRAGELONNE ***	The Man in the Iron Mask	The Man in the Iron Mask we're familiar with today is the last volume of the four-volume edition.	True
CELEBRATED CRIMES ***	The Man in the Iron Mask	The Man in the Iron Mask loved fine linen and rich lace, he was reserved in character and possessed of extreme refinement, and none of this suits the portraits of the âroi des hallesâ which contemporary historians have drawn.	False
A PHILOSOPHICAL DICTIONARY ***	The Man in the Iron Mask	The Man in the Iron Mask is an enigma which each one attempts to solve.	False
THE TIGRESS ***	The Mantle	The Mantle of Heroism It was generally conceded that the Earl of Dumphreys was eccentric.	False
WOMAN'S CLUB WORK AND PROGRAMS ***	The Three Musketeers	The differences might be brought out by comparing the character of Richard Coeur de Lion in The Talisman and Richard Yea-and-Nay, and that of Richelieu in The Three Musketeers and Under the Red Robe.	True
PECK'S COMPENDIUM OF FUN***	Behind the Scenes	An Intrusive Nigger At the Telephone Behind the Scenes Bossing the Pillow "Do not Pass me by!"	False
BLACK BEAUTY, YOUNG FOLKS' EDITION***	Black Beauty	The next day, when my groom was cleaning my face, he said: "That is just like the star that Black Beauty had, he is much the same height, too; I wonder where he is now."	False
BETTY WALES SENIOR ***	Black Beauty	Finally Madeline broke her crop in getting him over the side, and when Black Beauty had also been sent ashore the ferry lurched a little and floated.	False
THE ELEMENTS OF GENERAL METHOD***	Black Beauty	 By reading the story of the Black Beauty we acquire a lively sympathy for animals.	True
PRETTY MADCAP DOROTHY ***	Black Beauty	For many a day after Harry would not even have the name of Black Beauty mentioned in her hearing.	False
HEMPFIELD ***	Daisy Miller	Miss Daisy Miller played a selection from Mozart, though the piano was unfortunately out of tune.	False
DAISY MILLER ***	Daisy Miller	And yet was he to accuse Miss Daisy Miller of actual or potential inconduite, as they said at Geneva?	False
VIEWS AND REVIEWS ***	Daisy Miller	Daisy Miller _some thirty years ago when that study first appeared, so fresh in its note of charm and pathos, in the now almost unfindable brown wrappers of Harper's Half Hour Series, for they may forever miss a rare enjoyment.	True
FROM THE EASY CHAIR, SERIES 2 ***	Daisy Miller	When her self-reliance is boisterous, or without tact and fine perception, Daisy Miller will be as crude and distasteful as Lady Clara Vere de Vere is heartless and cruel.	True
HENRY JAMES ***	Daisy Miller	All the early works have been subjected to a revision which in several cases, notably Daisy Miller and Four Meetings, amounts to their ruin.	True
THE LAND OF CONTRASTS ***	Daisy Miller	The immortal Daisy Miller is a charming illustration of this.	True
HENRY JAMES, JR. ***	Daisy Miller	But that artistic impartiality which puzzled so many in the treatment of Daisy Miller is one of the qualities most valuable in the eyes of those who care how things are done, and I am not sure that it is not Mr. James's most characteristic quality.	True
THE WAYS OF MEN***	Daisy Miller	In London or Rome she may be presented in a few international salons, but as she finds it difficult to make her new acquaintances understand what an exalted position she occupies at home, the chances are that pique at seeing some Daisy Miller attract all the attention will drive my lady back to the city where she is known and appreciated, nothing being more difficult for an American âswellâ than explaining to the uninitiated in what way her position differs from that of the rest of her compatriots.	True
LADY BARBARINA***	Daisy Miller	There would appear to be to-day no slim scrap even of a Daisy Miller to bridge the chasm; no light-footed Francie Dosson or Pandora Day to dance before one across the wavering plank.	True
PARSIFAL ***	Idylls of the King	Tennyson's "The Holy Grail" in his Idylls of the King largely follows Sir Thomas Malory's chronicles.	True
TEACHERS' OUTLINES ***	Idylls of the King	The Idylls of the King is to be regarded as one work.	True
AMBROTOX AND LIMPING DICK ***	Idylls of the King	"No," resumed Dick, "you won't find any pretty Idylls of the King gadgets about Pépe.	True
THE WAGNERIAN ROMANCES ***	Idylls of the King	One would not lose more by dropping out of literature the Idylls of the King than the Wagnerian romances.	True
REVIEWS***	Idylls of the King	 The AEneid bears almost the same relation to the Iliad that the Idylls of the King do to the old Celtic romances of Arthur.	True
JANE JOURNEYS ON ***	Idylls of the King	He says I must remember that you can't slip the Idylls of the King in between the Black-faced Comedian and the Elephant Act.	True
WILLIAM WORDSWORTH POETRY, III ***	Lyrical Ballads	Wordsworth's poetical activity in 1804 is not recorded, however, in Lyrical Ballads or Sonnets, but in 'The Prelude', much of which was thought out, and afterwards dictated to Dorothy or Mary Wordsworth, on the terrace walk of Lancrigg during that year; while the 'Ode, Intimations of Immortality' was altered and added to, although it did not receive its final form till 1806.	True
LECTURES ON THE ENGLISH POETS***	Lyrical Ballads	The author of the Lyrical Ballads has thus missed a fine opportunity of doing Burns justice and himself honour.	True
FAMOUS REVIEWS ***	Lyrical Ballads	The Lyrical Ballads were unquestionably popular; and, we have no hesitation in saying, deservedly popular: for in spite of their occasional vulgarity, affectation, and silliness, they were undoubtedly characterised by a strong spirit of originality, of pathos, and natural feeling; and recommended to all good minds by the clear impression which they bore of the amiable disposition and virtuous principles of the author.	True
RECREATIONS OF CHRISTOPHER NORTH, VOLUME I (OF 2)***	Lyrical Ballads	But he elsewhere tells us that he and Coleridge hold the same principles in the Art Poetical; and among his Lyrical Ballads he admitted the three finest compositions of his illustrious Compeer.	True
WORDSWORTH, VOL. II. ***	Lyrical Ballads	The Lyrical Ballads and Sonnets which follow were written in 1802; but during that year Wordsworth continued mainly to work at 'The Excursion', as the following extracts from his sister's Journal indicate: "Feb. 1, 1802.--William worked hard at 'The Pedlar,' and tired himself.	True
THE ANTIQUARY, VOLUME 1 ***	Lyrical Ballads	Wordsworth's Lyrical Ballads had not as yet been published.	True
APPRECIATIONS, ESSAY ON STYLE ***	Lyrical Ballads	The Rhyme of the Ancient Mariner was printed as a contribution to the Lyrical Ballads in 1798; and these two poems belong to the great year of Coleridge's poetic production, his twenty-fifth year.	True
THE BRONTË FAMILY, VOL. 2 OF 2 ***	Wuthering Heights	'Who knows but your father was Emperor of China, and your mother an Indian queen, each of them able to buy up, with one week's income, Wuthering Heights and Thrushcross Grange together?	False
THE THREE BRONTËS ***	Wuthering Heights	That is how some watcher on Wuthering Heights might measure the long passage of the night.	False
THE KEY TO THE BRONTË WORKS ***	Wuthering Heights	It is indeed important and interesting to find at the old farmstead of Wuthering Heights scenes reminiscent of the intimately pedagogic relations that existed between Charlotte Brontë and M. Héger of the school at Brussels.	True
BRIEF HANDBOOK OF ENGLISH AUTHORS ***	Wuthering Heights	Her Wuthering Heights shows in places greater power than either of her sisters possessed, but as a whole is strained and unnatural.	True
WOMAN'S WORK IN ENGLISH FICTION ***	Wuthering Heights	The night that Mr. Lockwood spends at Wuthering Heights he reads her books, and her spirit appears to him crying for entrance at the window, and complaining that she has wandered on the moors for twenty years.	True
WHY WE SHOULD READ ***	Wuthering Heights	At Wuthering Heights it always sounded on quiet days following a great thaw or a season of steady rain."	False
THE DRUNKARD***	Lysistrata	The mouths of the heralds of the Lysistrata were set in one curve of comedy throughout the play.	True
GREEK WOMEN ***	Lysistrata	Lysistrata is the wife of an Athenian magistrate, and has been strongly affected by the ill success of the Peloponnesian War.	True
MRS. BINDLE ***	Lysistrata	But for her good-fortune in encountering Mrs. Hopton at her second venture, she might even have relinquished the part of Lysistrata and have returned home to prepare Bindle's dinner.	True
SYLVIA SCARLETT ***	Lysistrata	"I think Lysistrata is simply splendid," Sylvia said, a week or so later.	True
LYSISTRATA ***	Lysistrata	But Panurge is as fantastic and fascinating a character now as he was 300 years ago, Lysistrata and her girls as freshly bodied as any girl kissed to-day.	True
EDUCATION: HOW OLD THE NEW ***	Lysistrata	She complains of the mismanagement hitherto of public affairs, and asserts that the only hope of salvation for the state is to put the government into the hands of the women; arguing, like Lysistrata in the comedy of that name, that those who have so long managed the domestic establishment {245} successfully are best fitted to undertake the same duties on a larger scale.	True
CRITICAL AND HISTORICAL ESSAYS, VOLUME III (OF 3)***	Lysistrata	Every year the most distinguished young men in the kingdom are examined by bishops and professors of divinity in such works as the Lysistrata of Aristophanes and the Sixth Satire of Juvenal.	True
FREETHINKERS ***	The Origin of Species	His studies, combined with the reading of Lamarck and Malthus, led to his great work on The Origin of Species by means of Natural Selection, '59, which made a great outcry and marked an epoch.	True
HISTORY OF SCIENCE, V4 ***	The Origin of Species	The explosion itself came more than a year later, in November, 1859, when Darwin, after thirteen months of further effort, completed the outline of his theory, which was at first begun as an abstract for the Linnaean Society, but which grew to the size of an independent volume despite his efforts at condensation, and which was given that ever-to-be-famous title, The Origin of Species by Means of Natural Selection, or the Preservation of Favored Races in the Struggle for Life.	True
AUTOBIOGRAPHY AND SELECTED ESSAYS ***	The Origin of Species	As a result of all these controversies on The Origin of Species and of investigations to uphold Darwin's theory, Huxley wrote his first book, already mentioned, Man's Place in Nature.	True
USES OF THE BIBLE ***	The Origin of Species	Genesis is no authority in science, and The Origin of Species is no authority in philosophy, poetry, theology or religion.	True
THE HUMOUR OF HOMER AND OTHER ESSAYS***	The Origin of Species	 Mr. Herbert Spencer has recently collected many passages from The Origin of Species and from Animals and Plants under Domestication," {263} which show how largely, after all, use and disuse entered into Mr. Darwin's system, and we know that in his later years he attached still more importance to them.	True
JOE BURKE'S LAST STAND***	The Origin of Species	He unpacked his clothes and a paperback copy of The Origin of Species which he placed on the bedside table.	True
BACK TO METHUSELAH***	The Origin of Species	If very few of us have read The Origin of Species from end to end, it is not because it overtaxes our mind, but because we take in the whole case and are prepared to accept it long before we have come to the end of the innumerable instances and illustrations of which the book mainly consists.	True
THE CRIMES OF ENGLAND ***	Grimm's Fairy Tales	Good as Grimm's Fairy Tales were, they had been collected and not created by the modern German; they were a museum of things older than any nation, of the dateless age of once-upon-a-time.	True
THE SEVENTH NOON ***	Grimm's Fairy Tales	On this particular night Sis had just lost herself in her thumbworn volume of Grimm's Fairy Tales when--there came a kick on the outside door and the sound of two voices coming down the short hall.	True
REVERIES OVER CHILDHOOD AND YOUTH ***	Grimm's Fairy Tales	From that on I shared the excitement which ran through all my fellows on Wednesday afternoons when the boys' papers were published, and I read endless stories I have forgotten as completely as Grimm's Fairy Tales that I read at Sligo, and all of Hans Andersen except the Ugly Duckling which my mother had read to me and to my sisters.	True
AESOP'S FABLES ***	Grimm's Fairy Tales	The truth is, of course, that Æsop's Fables are not Æsop's fables, any more than Grimm's Fairy Tales were ever Grimm's fairy tales.	True
LETTERS OF PLINY ***	History of the Wars	"The History of the Wars in Germany," in twenty books, in which he gave an account of all the battles we were engaged in against that nation.	True
FAMILIAR LETTERS OF JOHN ADAMS ***	History of the Wars	It is entitled "The History of the Wars of Flanders," written in Italian by that learned and famous Cardinal Bentivoglio, Englished by the Right Honorable Henry, Earl of Monmouth.	True
"GRANNY'S CHAPTERS" ***	History of the Wars	Josephus immediately set to work to learn the Greek language, in which he wrote his History of the Wars of the Jews and of the Destruction of Jerusalem.	True
THE ART OF WAR ***	History of the Wars	The account of the campaign of 1799 by the Archduke Charles, that of the campaigns which I have given in my History of the Wars of the Revolution, the narrative of the campaign of the Grisons by Ségur and Mathieu Dumas, that of Catalonia by Saint-Cyr and Suchet, the campaign of the Duke de Rohan in Valtellina, and the passage of the Alps by Gaillard, (Francis I.,) are good guides in this study.	True
THE LIVES OF THE FATHERS ***	History of the Wars	St. Julian has left us a History of the Wars of king Wemba, a book against the Jews, and three books On Prognostics, or on death, and the state of souls after death.	True
THE NUTTALL ENCYCLOPAEDIA ***	History of the Wars	PROCOPIUS, a Greek historian, born at Cæsarea, the secretary of Belisarius, and author of a History of the Wars of Justinian, which is still the chief authority for the events of his reign; _d_.	True
THE AVALANCHE ***	Moving Pictures	"Then we'll go to the Moving Pictures unless there is a matinée, and then we'll motor out to the Boulevard, and then back and have tea somewhere.	False
ADE'S FABLES ***	Moving Pictures	The Rehearsals somewhat resembled the Moving Pictures of the Durbar at Delhi.	False
BALDY OF NOME***	Moving Pictures	When I want t' drive fast dogs, and go t' the Moving Pictures at night, and drink coffee, I wish I was old too; but now I can see that gettin' old's pretty tough on a feller sometimes."	False
RUTH FIELDING IN THE SADDLE ***	Moving Pictures	Ruth and Helen go to Briarwood Hall for succeeding terms until they are ready for college; and their life there and their adventures during their vacations at Snow Camp, at Lighthouse Point, at Silver Ranch, at Cliff Island, at Sunrise Farm, with the Gypsies, in Moving Pictures and Down in Dixie are related in successive volumes.	False
THE CRITICAL GAME***	Anna Karenina	Anna Karenina commits suicide, not because she is a naughty woman whom the novelist as guardian of morals must punish for the satisfaction of a virtuous world, but because the society that surrounds her, the everyday life of visiting and tea-drinking, inexorably forbids her to be happy.	True
IVORY APES AND PEACOCKS ***	Anna Karenina	If Anna Karenina has wooed you--as it must--take up The Idiot; and if you are impressed by the epical magnitude of War and Peace, study that other epic of souls, The Brothers Karamazov, which illuminates, as if with ghastly flashes of lightning, the stormy hearts of mankind.	True
FANTASIA OF THE UNCONSCIOUS***	Anna Karenina	Better Anna Karenina and Vronsky a thousand times than Natasha and that porpoise of a Pierre.	True
A COLLECTION OF STORIES ***	Anna Karenina	You remember when Anna Karenina was under the wheels, she kept saying, 'Why am I here?'" Cavenaugh rubbed his upper lip with his pink finger and made an effort to wrinkle his brows.	True
ESSAYS ON RUSSIAN NOVELISTS ***	Anna Karenina	In reading the account of Praskukhin's sensations just before death, one feels, as one does in reading the thoughts of Anna Karenina under the train, that Tolstoi himself must have died in some previous existence, in order to analyse death so clearly.	True
PHANTOM WIRES ***	Anna Karenina	 Then I slipped out, and jumped for the moving platform, and was bundled into my right carriage by a guard, who thought I was trying to commit an Anna Karenina suicide--until I gave him ten francs.	True
BEST RUSSIAN SHORT STORIES ***	Anna Karenina	Anna Karenina may have all the subtle womanly charm of an Olivia or a Portia, but how different her trials.	True
THE CRAFT OF FICTION***	Anna Karenina	There is plenty to say of a book, even in this condition; for the hours of our actual exposure to it were full and eventful, and after living for a time with people like Clarissa Harlowe or Anna Karenina or Emma Bovary we have had a lasting experience, though the novels in which they figured may fall away into dimness and uncertainty.	True
AMERICANISMS AND BRITICISMS ***	Anna Karenina	Thus when Matthew Arnold wrote about Tolstoi, he told us that Anna Karenina "throws herself under the wheels of a _goods_ train."	True
GEORGE ELIOT; A CRITICAL STUDY OF HER LIFE, WRITINGS & PHILOSOPHY***	Daniel Deronda	The motto to chapter seventeen of Daniel Deronda was quoted, in the first edition, as from In Memoriam instead of Locksley Hall.	True
BOOK OF DELIGHT, OTHER PAPERS ***	Daniel Deronda	It will be remembered that Daniel Deronda went into a second-hand book-shop and bought a small volume for half a crown, thereby making the acquaintance of Ezra Cohen.	True
EXPOSITOR'S BIBLE: EZRA, NEHEMIAH, ESTHER ***	Daniel Deronda	The hectic enthusiast who inspires Daniel Deronda with his passionate ideas is evidently a reflection in modern literature of the Mordecai of Scripture.	True
THE ENGLISH NOVEL ***	Daniel Deronda	On the other hand, Daniel Deronda discovers that he is a Jew by birth, and fired by the visions of a fervent Hebrew friend, he resolves to devote his life and the wealth that has fallen to him from various sources to the cause of reÃ«stablishing his people in their former Eastern home.	True
BEACON LIGHTS OF HISTORY, VOLUME VII***	Daniel Deronda	But it was a Utopian dream that sent Daniel Deronda to the Orient to collect together the scattered members of his race.	True
GEORGE ELIOT ***	Daniel Deronda	It is curious to notice that Eppie, Esther, Fedalma, and Daniel Deronda are all children that have been reared in ignorance of their real parentage, and that to all of them there comes a day when a more or less difficult decision has to be made, when for good or evil they have to choose, once for all, between two conflicting claims.	True
HARPER'S NEW MONTHLY, OCTOBER 1851 ***	Moby Dick	But, at some distance, Moby Dick rose again, with some tatters of Radney's red woolen shirt, caught in the teeth that had destroyed him.	False
GREAT SEA STORIES ***	Moby Dick	And thus, through the serene tranquillities of the tropical sea, among waves whose hand-clappings were suspended by exceeding rapture, Moby Dick moved on, still withholding from sight the full terrors of his submerged trunk, entirely hiding the wrenched hideousness of his jaw.	False
MUTUAL AID ***	The Descent of Man	In The Descent of Man he gave some powerful pages to illustrate its proper, wide sense.	True
HALLECK'S NEW ENGLISH LITERATURE ***	Volpone	Volpone says:-- "Good morning to the day; and next, my gold!-- Open the shrine, that I may see my saint.	False
ENCYCLOPAEDIA BRITANNICA ***	Volpone	Still, Captain Bobadil and Captain Tucca, Macilente and Fungoso, Volpone and Mosca, and a goodly number of other characters impress themselves permanently upon the memory of those whose attention they have as a matter of course commanded.	True
A STUDY OF SHAKESPEARE***	Volpone	 The resemblance of this character to that of Volpone in _The Fox_ and to that of Face in _	True
SHAKESPEARE, BEN JONSON, BEAUMONT AND FLETCHER***	Volpone	If it were possible to lessen the paramountcy of Volpone himself, a most delightful comedy might be produced, by making Celia the ward or niece of Corvino, instead of his wife, and Bonario her lover.	True
18TH CENTURY IN ENGLISH CARICATURE ***	Volpone	I have been fortunate enough to obtain for this work reproductions of three among the best ones; but my account may do well to commence with that delightful print (another hit at Charles James Fox) of the "Introduction of Citizen Volpone and his Suite at Paris"; might note further "The Vexation of Little Boney"; and strike a higher note in "The Handwriting upon the Wall," where, in the hour of his triumph, Buonaparte, seated at table beside an enormously stout Josephine, with gigantic and savage-looking Guards and very _décolletées_ and ringleted maids-of-honour waiting in service on them, sees with dilated eyes on the wall the warning of his doom.	True
THE ANATOMY OF MELANCHOLY ***	Volpone	Many men to fetch over a young woman, widows, or whom they love, will not stick to crack, forge and feign any thing comes next, bid his boy fetch his cloak, rapier, gloves, jewels, &c. in such a chest, scarlet-golden-tissue breeches, &c. when there is no such matter; or make any scruple to give out, as he did in Petronius, that he was master of a ship, kept so many servants, and to personate their part the better take upon them to be gentlemen of good houses, well descended and allied, hire apparel at brokers, some scavenger or prick-louse tailors to attend upon them for the time, swear they have great possessions, [5178]bribe, lie, cog, and foist how dearly they love, how bravely they will maintain her, like any lady, countess, duchess, or queen; they shall have gowns, tiers, jewels, coaches, and caroches, choice diet, "The heads of parrots, tongues of nightingales, The brains of peacocks, and of ostriches, Their bath shall be the juice of gilliflowers, Spirit of roses and of violets, The milk of unicorns," &c. as old Volpone courted Celia in the [5179]comedy, when as they are no such men, not worth a groat, but mere sharkers, to make a fortune, to get their desire, or else pretend love to spend their idle hours, to be more welcome, and for better entertainment.	True
CAPTAIN DANGEROUS, VOL. 2 OF 3 ***	Volpone	Sir Basil Hopwood was the rather of the same complexion of Entrails with that Signor Volpone whom we have all seen--at least such of us as be old Boys--in Ben Jonson's play of the _Fox_.	True
ENCYC. BRITANNICA, VOL 8 SL 6 ***	Volpone	Much is gained by a significant introduction of hero or heroine--thus Antigone is dragged in by the watchman, Gloucester enters alone upon the scene, Volpone is discovered in adoration of his golden saint.	True
TIME CRIME ***	Our Mutual Friend	"What does Our Mutual Friend think about all this?" he asked, gesturing toward the screen.	False
DICKENS AS AN EDUCATOR***	Our Mutual Friend	The depressing influence of another form of coercion is shown in Our Mutual Friend by the effect of Mr. Podsnap's character on his daughter Georgiana.	True
TENNYSON AND HIS FRIENDS ***	Shakespeare's Sonnets	"Sometimes I think Shakespeare's Sonnets finer than his Plays--which is of course absurd.	True
IN A GREEN SHADE ***	Shakespeare's Sonnets	Shakespeare's Sonnets offer a more doubtful field of experiment.	True
AVRIL ***	Shakespeare's Sonnets	These "Sonnets for Hélène" should be common knowledge: they are (with Du Bellay's) the evident original upon which the author of Shakespeare's Sonnets modelled his work: they are the late and careful effort of Ronsard's somewhat spendthrift genius.	True
